color,bestColor,contrast,compliance
#0098a8,#ffff00,3.23,None
#0098b0,#ffff00,3.2,None
#0098b8,#ffff00,3.16,None
#0098c0,#ffff00,3.13,None
#0098c8,#ffff00,3.09,None
#0098d0,#ffff00,3.05,None
#0098d8,#ffff00,3.02,None
#0098e0,#ffff00,2.98,None
#0098e8,#800080,2.99,None
#0098f0,#800080,3.03,None
#0098f8,#800080,3.07,None
#00a000,#ffff00,3.24,None
#00a008,#ffff00,3.24,None
#00a010,#ffff00,3.24,None
#00a018,#ffff00,3.24,None
#00a020,#ffff00,3.23,None
#00a028,#ffff00,3.23,None
#00a030,#ffff00,3.22,None
#00a038,#ffff00,3.21,None
#00a040,#ffff00,3.2,None
#00a048,#ffff00,3.19,None
#00a050,#ffff00,3.18,None
#00a058,#ffff00,3.17,None
#00a060,#ffff00,3.16,None
#00a068,#ffff00,3.14,None
#00a070,#ffff00,3.12,None
#00a078,#ffff00,3.1,None
#00a080,#ffff00,3.08,None
#00a088,#ffff00,3.06,None
#00a090,#ffff00,3.04,None
#00a098,#ffff00,3.02,None
#00a0a0,#ffff00,2.99,None
#00a0a8,#ffff00,2.97,None
#00a0b0,#800080,2.99,None
#00a0b8,#800080,3.01,None
#00a0c0,#800080,3.05,None
#00a0c8,#800080,3.08,None
#00a0d0,#800080,3.11,None
#00a0d8,#800080,3.15,None
#00a0e0,#800080,3.19,None
#00a0e8,#800080,3.23,None
#00a0f0,#800080,3.27,None
#00a0f8,#800080,3.31,None
#00a800,#ffff00,2.96,None
#00a808,#800080,2.96,None
#00a810,#800080,2.96,None
#00a818,#800080,2.97,None
#00a820,#800080,2.97,None
#00a828,#800080,2.97,None
#00a830,#800080,2.98,None
#00a838,#800080,2.99,None
#00a840,#800080,2.99,None
#00a848,#800080,3.0,None
#00a850,#800080,3.01,None
#00a858,#800080,3.02,None
#00a860,#800080,3.04,None
#00a868,#800080,3.05,None
#00a870,#800080,3.07,None
#00a878,#800080,3.08,None
#00a880,#800080,3.1,None
#00a888,#800080,3.12,None
#00a890,#800080,3.14,None
#00a898,#800080,3.16,None
#00a8a0,#800080,3.19,None
#00a8a8,#800080,3.21,None
#00a8b0,#800080,3.24,None
#00a8b8,#800080,3.27,None
#00a8c0,#800080,3.3,None
#00a8c8,#800080,3.33,None
#00a8d0,#800080,3.37,None
#00a8d8,#800080,3.41,None
#00a8e0,#800080,3.44,None
#00a8e8,#800080,3.48,None
#00a8f0,#800080,3.53,None
#00a8f8,#800080,3.57,None
#00b000,#800080,3.23,None
#00b008,#800080,3.24,None
#00b010,#800080,3.24,None
#00b018,#800080,3.24,None
#00b020,#800080,3.24,None
#00b028,#800080,3.25,None
#00b030,#800080,3.25,None
#00b038,#800080,3.26,None
#00b040,#800080,3.27,None
#00b048,#800080,3.28,None
#00b050,#800080,3.29,None
#00b058,#800080,3.3,None
#00b060,#800080,3.31,None
#00b068,#800080,3.32,None
#00b070,#800080,3.34,None
#00b078,#800080,3.36,None
#00b080,#800080,3.37,None
#00b088,#800080,3.39,None
#00b090,#800080,3.41,None
#00b098,#800080,3.44,None
#00b0a0,#800080,3.46,None
#00b0a8,#800080,3.49,None
#00b0b0,#800080,3.52,None
#00b0b8,#800080,3.54,None
#00b0c0,#800080,3.58,None
#00b0c8,#800080,3.61,None
#00b0d0,#800080,3.64,None
#00b0d8,#800080,3.68,None
#00b0e0,#800080,3.72,None
#00b0e8,#800080,3.76,None
#00b0f0,#800080,3.8,None
#00b0f8,#800080,3.84,None
#00b800,#800080,3.52,None
#00b808,#800080,3.53,None
#00b810,#800080,3.53,None
#00b818,#800080,3.53,None
#00b820,#800080,3.53,None
#00b828,#800080,3.54,None
#00b830,#800080,3.54,None
#00b838,#800080,3.55,None
#00b840,#800080,3.56,None
#00b848,#800080,3.57,None
#00b850,#800080,3.58,None
#00b858,#800080,3.59,None
#00b860,#800080,3.6,None
#00b868,#800080,3.61,None
#00b870,#800080,3.63,None
#00b878,#800080,3.65,None
#00b880,#800080,3.66,None
#00b888,#800080,3.68,None
#00b890,#800080,3.7,None
#00b898,#800080,3.73,None
#00b8a0,#800080,3.75,None
#00b8a8,#800080,3.78,None
#00b8b0,#800080,3.8,None
#00b8b8,#800080,3.83,None
#00b8c0,#800080,3.87,None
#00b8c8,#800080,3.9,None
#00b8d0,#800080,3.93,None
#00b8d8,#800080,3.97,None
#00b8e0,#800080,4.01,None
#00b8e8,#800080,4.05,None
#00b8f0,#800080,4.09,None
#00b8f8,#800080,4.13,None
#00c000,#800080,3.83,None
#00c008,#800080,3.83,None
#00c010,#800080,3.83,None
#00c018,#800080,3.84,None
#00c020,#800080,3.84,None
#00c028,#800080,3.84,None
#00c030,#800080,3.85,None
#00c038,#800080,3.86,None
#00c040,#800080,3.86,None
#00c048,#800080,3.87,None
#00c050,#800080,3.88,None
#00c058,#800080,3.89,None
#00c060,#800080,3.91,None
#00c068,#800080,3.92,None
#00c070,#800080,3.94,None
#00c078,#800080,3.95,None
