color,bestColor,contrast,compliance
#20f050,#800080,6.12,AA
#20f060,#800080,6.14,AA
#20f070,#800080,6.17,AA
#20f080,#800080,6.21,AA
#20f090,#800080,6.25,AA
#20f0a0,#800080,6.29,AA
#20f0b0,#800080,6.35,AA
#20f0c0,#800080,6.41,AA
#20f0d0,#800080,6.47,AA
#20f0e0,#800080,6.55,AA
#20f0f0,#800080,6.63,AA
#300000,#ffa500,9.45,AAA
#300010,#ffa500,9.38,AAA
#300020,#ffa500,9.27,AAA
#300030,#ffa500,9.1,AAA
#300040,#ffa500,8.86,AAA
#300050,#ffa500,8.57,AAA
#300060,#ffa500,8.21,AAA
#300070,#ffa500,7.82,AAA
#300080,#ffa500,7.4,AAA
#300090,#ffa500,6.96,AA
#3000a0,#ffa500,6.51,AA
#3000b0,#ffa500,6.07,AA
#3000c0,#ffa500,5.64,AA
#3000d0,#ffa500,5.22,AA
#3000e0,#ffa500,4.83,AA
#3000f0,#ffa500,4.46,None
#301000,#ffa500,8.86,AAA
#301010,#ffa500,8.81,AAA
#301020,#ffa500,8.71,AAA
#301030,#ffa500,8.56,AAA
#301040,#ffa500,8.35,AAA
#301050,#ffa500,8.08,AAA
#301060,#ffa500,7.77,AAA
#301070,#ffa500,7.42,AAA
#301080,#ffa500,7.04,AAA
#301090,#ffa500,6.64,AA
#3010a0,#ffa500,6.23,AA
#3010b0,#ffa500,5.82,AA
#3010c0,#ffa500,5.42,AA
#3010d0,#ffa500,5.04,AA
#3010e0,#ffa500,4.67,AA
#3010f0,#ffa500,4.33,None
#302000,#ffa500,7.98,AAA
#302010,#ffa500,7.94,AAA
#302020,#ffa500,7.86,AAA
#302030,#ffa500,7.73,AAA
#302040,#ffa500,7.56,AAA
#302050,#ffa500,7.34,AAA
#302060,#ffa500,7.08,AAA
#302070,#ffa500,6.79,AA
#302080,#ffa500,6.47,AA
#302090,#ffa500,6.13,AA
#3020a0,#ffa500,5.78,AA
#3020b0,#ffa500,5.43,AA
#3020c0,#ffa500,5.08,AA
#3020d0,#ffa500,4.74,AA
#3020e0,#ffa500,4.41,None
#3020f0,#ffa500,4.1,None
#303000,#ffa500,6.87,AA
#303010,#ffa500,6.83,AA
#303020,#ffa500,6.78,AA
#303030,#ffa500,6.68,AA
#303040,#ffa500,6.55,AA
